2004,1,27,2,900,900,1442,1444,UA,484,N560UA,222,224,201,-2,0,PDX,ORD,1739,6,15,0,,0,0,0,0,0,0
2004,1,28,3,903,900,1432,1444,UA,484,N541UA,209,224,192,-12,3,PDX,ORD,1739,4,13,0,,0,0,0,0,0,0
2004,1,29,4,919,900,1452,1444,UA,484,N530UA,213,224,198,8,19,PDX,ORD,1739,5,10,0,,0,0,0,0,0,0
2004,1,30,5,909,900,1448,1444,UA,484,N538UA,219,224,193,4,9,PDX,ORD,1739,10,16,0,,0,0,0,0,0,0
2004,1,31,6,858,900,1429,1444,UA,484,N539UA,211,224,196,-15,-2,PDX,ORD,1739,5,10,0,,0,0,0,0,0,0
2004,1,7,3,642,640,753,753,UA,485,N340UA,131,133,111,0,2,SAT,DEN,794,10,10,0,,0,0,0,0,0,0
2004,1,8,4,634,640,736,753,UA,485,N924UA,122,133,110,-17,-6,SAT,DEN,794,4,8,0,,0,0,0,0,0,0
2004,1,9,5,634,640,744,753,UA,485,N918UA,130,133,115,-9,-6,SAT,DEN,794,5,10,0,,0,0,0,0,0,0
2004,1,10,6,635,640,804,753,UA,485,N912UA,149,133,109,11,-5,SAT,DEN,794,10,30,0,,0,0,0,0,0,0
2004,1,11,7,635,640,736,753,UA,485,N380UA,121,133,108,-17,-5,SAT,DEN,794,7,6,0,,0,0,0,0,0,0
2004,1,12,1,632,640,801,753,UA,485,N363UA,149,133,114,8,-8,SAT,DEN,794,16,19,0,,0,0,0,0,0,0
2004,1,13,2,636,640,748,753,UA,485,N933UA,132,133,114,-5,-4,SAT,DEN,794,10,8,0,,0,0,0,0,0,0
2004,1,14,3,637,640,749,753,UA,485,N934UA,132,133,120,-4,-3,SAT,DEN,794,5,7,0,,0,0,0,0,0,0
2004,1,15,4,638,640,738,753,UA,485,N388UA,120,133,105,-15,-2,SAT,DEN,794,7,8,0,,0,0,0,0,0,0
2004,1,16,5,639,640,739,753,UA,485,N923UA,120,133,101,-14,-1,SAT,DEN,794,9,10,0,,0,0,0,0,0,0
